;;;;enero;enero;enero;enero;;febrero;febrero;febrero;febrero;;marzo;marzo;marzo;marzo;;abril;abril;abril;abril;;mayo;mayo;mayo;mayo;;junio;junio;junio;junio;;julio;julio;julio;julio;;agosto;agosto;agosto;agosto;;septiembre;septiembre;septiembre;septiembre;;octubre;octubre;octubre;octubre;;noviembre;noviembre;noviembre;noviembre;;diciembre;diciembre;diciembre;diciembre;;Total;Total;Total;Total;2024;2024;2024;2024;Total
__clase____descripcion;__subclase____descripcion;__producto____descripcion;codigo;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;Kg ;Margen; ﾛ/Kilo ;Precio medio;ﾛ
Pescados;Total;;;77.700;324.100;71.608;0,93;;77.700;324.100;71.608;0,93;;149.160;637.162;138.320;0,93;;99.020;418.313;91.792;0,93;;135.900;578.939;125.450;0,93;;107.460;448.170;98.460;0,93;;143.660;625.349;133.452;0,93;;158.940;700.336;148.378;0,93;;98.670;408.615;90.872;0,93;;130.310;561.982;121.685;0,93;;101.660;441.087;95.467;0,93;;66.820;288.438;61.812;0,93;;1.347.000;5.756.590;1.248.900;0,93;1.347.000;1.248.900;0,93;4,24;
Pescados;Abadejo;Total;146650156;1.000;2.500;650;0,65;5,00%;1.000;2.500;650;0,65;5,00%;2.600;6.500;1.690;0,65;13,00%;1.200;3.000;780;0,65;6,00%;2.000;5.000;1.300;0,65;10,00%;1.600;4.000;1.040;0,65;8,00%;2.600;6.500;1.690;0,65;13,00%;2.400;6.000;1.560;0,65;12,00%;1.200;3.000;780;0,65;6,00%;1.600;4.000;1.040;0,65;8,00%;1.600;4.000;1.040;0,65;8,00%;1.200;3.000;780;0,65;6,00%;20.000;50.000;13.000;0,65;20.000;13.000;0,65;2,50;
Pescados;Bacalao;Total;168758320;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0;0;;;
Pescados;Boqueron;Total;168680101;100;612;30;0,30;5,00%;100;612;30;0,30;5,00%;260;1.591;78;0,30;13,00%;120;734;36;0,30;6,00%;200;1.224;60;0,30;10,00%;160;979;48;0,30;8,00%;260;1.591;78;0,30;13,00%;240;1.469;72;0,30;12,00%;120;734;36;0,30;6,00%;160;979;48;0,30;8,00%;160;979;48;0,30;8,00%;120;734;36;0,30;6,00%;2.000;12.240;600;0,30;2.000;600;0,30;6,12;
Pescados;Fogonero;Total;166700149;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0;0;;;
Pescados;Gallineta;Total;301340100;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;44,44%;0;0;0;;33,33%;0;0;0;;22,22%;0;0;0;0,00;0;0;;;
Pescados;Gallo;Total;167600102;2.000;9.000;1.800;0,90;5,00%;2.000;9.000;1.800;0,90;5,00%;5.200;23.400;4.680;0,90;13,00%;2.400;10.800;2.160;0,90;6,00%;4.000;18.000;3.600;0,90;10,00%;3.200;14.400;2.880;0,90;8,00%;5.200;23.400;4.680;0,90;13,00%;4.800;21.600;4.320;0,90;12,00%;2.400;10.800;2.160;0,90;6,00%;3.200;14.400;2.880;0,90;8,00%;3.200;14.400;2.880;0,90;8,00%;2.400;10.800;2.160;0,90;6,00%;40.000;180.000;36.000;0,90;40.000;36.000;0,90;4,50;
Pescados;Halibut;Total;166450000;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;50,00%;0;0;0;;25,00%;0;0;0;;25,00%;0;0;0;0,00;0;0;;;
Pescados;Limanda;Total;160850102;2.700;12.960;2.565;0,95;6,00%;2.700;12.960;2.565;0,95;6,00%;4.500;21.600;4.275;0,95;10,00%;2.700;12.960;2.565;0,95;6,00%;4.500;21.600;4.275;0,95;10,00%;3.600;17.280;3.420;0,95;8,00%;4.500;21.600;4.275;0,95;10,00%;5.400;25.920;5.130;0,95;12,00%;3.150;15.120;2.993;0,95;7,00%;4.500;21.600;4.275;0,95;10,00%;3.600;17.280;3.420;0,95;8,00%;3.150;15.120;2.993;0,95;7,00%;45.000;216.000;42.750;0,95;45.000;42.750;0,95;4,80;
Pescados;Lubina;Total;300790010;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;35,29%;0;0;0;;35,29%;0;0;0;;29,41%;0;0;0;0,00;0;0;;;
Pescados;Mahi Mahi;Total;301380204;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0,00;0;;;
Pescados;Merluza;Total;180202401;30.000;107.700;29.100;0,97;6,00%;30.000;107.700;29.100;0,97;6,00%;55.000;197.450;53.350;0,97;11,00%;40.000;143.600;38.800;0,97;8,00%;50.000;179.500;48.500;0,97;10,00%;40.000;143.600;38.800;0,97;8,00%;50.000;179.500;48.500;0,97;10,00%;55.000;197.450;53.350;0,97;11,00%;40.000;143.600;38.800;0,97;8,00%;50.000;179.500;48.500;0,97;10,00%;40.000;143.600;38.800;0,97;8,00%;20.000;71.800;19.400;0,97;4,00%;500.000;1.795.000;485.000;0,97;500.000;485.000;0,97;3,59;
Pescados;Panga;Total;180340100;12.600;36.540;8.820;0,70;7,00%;12.600;36.540;8.820;0,70;7,00%;18.000;52.200;12.600;0,70;10,00%;14.400;41.760;10.080;0,70;8,00%;18.000;52.200;12.600;0,70;10,00%;16.200;46.980;11.340;0,70;9,00%;18.000;52.200;12.600;0,70;10,00%;19.800;57.420;13.860;0,70;11,00%;14.400;41.760;10.080;0,70;8,00%;16.200;46.980;11.340;0,70;9,00%;10.800;31.320;7.560;0,70;6,00%;9.000;26.100;6.300;0,70;5,00%;180.000;522.000;126.000;0,70;180.000;126.000;0,70;2,90;
